Speed,Voltage,Cas Latency / Timing,Capacity,DIMMs,Channel,Socket,Manufacturer,Processor,DDR,Certified Board (board rev / min BIOS),Date Added
3000MHz,1.35,15-17-17-36,16GB,1,Dual,LGA1151,Kingston,Core? i5 6600K,DDR4,ASUS Z170 DELUXE (1.03/1702),2018.07.30
3000MHz,1.35,15-17-17-36,16GB,1,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,GIGABYTE Z270X-GAMING 7 ( 1.0 / F3B ),2018.07.30
3000MHz,1.35,15-17-17-36,16GB,1,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,ASUS IX-HERO ( 1.01 / 0401 ),2018.07.30
3000MHz,1.35,15-17-17-36,16GB,1,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,ASUS PRIME-Z270-A ( 1.02 / 0401 ),2018.07.30
3000MHz,1.35,15-17-17-36,16GB,1,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,GIGABYTE GA-Z270X-GAMING 8 ( 1.0 / F1C ),2018.07.30
3000MHz,1.35,15-17-17-36,16GB,1,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,ASROCK GA-Z270-EXTREME 4 ( 1.02 / L1.01 ),2018.07.30
3000MHz,1.35,15-17-17-36,16GB,1,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,MSI Z270-SLI-PLUS ( 1.0 / 1.22 ),2018.07.30
3000MHz,1.35,15-17-17-36,16GB,1,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,ASUS ROG MAXIMUS X HERO ( Rev 1.xx / 0213 ),2018.07.30
3000MHz,1.35,15-17-17-36,16GB,1,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,GIGABYTE Z370 AORUS Gaming 7 ( / F3c 09/13/2017 ),2018.07.30
3000MHz,1.35,15-17-17-36,16GB,1,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,Gigabyte Z370 AORUS Ultra Gaming ( x.x / F5a ),2018.07.30
3000MHz,1.35,15-17-17-36,16GB,1,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,MSI Z370 GAMING PRO CARBON AC ( 2.0 / A.13 ),2018.07.30
3000MHz,1.35,15-17-17-36,16GB,1,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,MSI Z370 GODLIKE GAMING (MS-7A98) ( / A.0E 08/29/2017 ),2018.07.30
3000MHz,1.35,15-17-17-36,16GB,1,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,ASRock Fatal1ty Z370 Gaming K6 ( / L1.01B ),2018.07.30
3000MHz,1.35,15-17-17-36,8GB,1,Dual,LGA1151,Kingston,Core? i5 6600K,DDR4,MSI Z170A XPOWER GAMING TITANIUM EDITION (3.1/1.75),2018.07.30
3000MHz,1.35,15-17-17-36,8GB,1,Dual,LGA1151,Kingston,Core? i5 6600K,DDR4,ASUS Z170 DELUXE (1.03/1702),2018.07.30
3000MHz,1.35,15-17-17-36,8GB,1,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,GIGABYTE Z270X-GAMING 7 ( 1.0 / F3B ),2018.07.30
3000MHz,1.35,15-17-17-36,8GB,1,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,ASUS IX-HERO ( 1.01 / 0401 ),2018.07.30
3000MHz,1.35,15-17-17-36,8GB,1,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,ASUS PRIME-Z270-A ( 1.02 / 0401 ),2018.07.30
3000MHz,1.35,15-17-17-36,8GB,1,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,GIGABYTE GA-Z270X-GAMING 8 ( 1.0 / F1C ),2018.07.30
3000MHz,1.35,15-17-17-36,8GB,1,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,ASROCK GA-Z270-EXTREME 4 ( 1.02 / L1.01 ),2018.07.30
3000MHz,1.35,15-17-17-36,8GB,1,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,MSI Z270-SLI-PLUS ( 1.0 / 1.22 ),2018.07.30
3000MHz,1.35,15-17-17-36,8GB,1,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,ASUS ROG MAXIMUS X HERO ( Rev 1.xx / 0213 ),2018.07.30
3000MHz,1.35,15-17-17-36,8GB,1,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,MSI Z370 GODLIKE GAMING (MS-7A98) ( / A.0E 08/29/2017 ),2018.07.30
3000MHz,1.35,15-17-17-36,8GB,1,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,GIGABYTE Z370 AORUS Gaming 7 (  / F3c 09/13/2017 ),2018.07.30
3000MHz,1.35,15-17-17-36,8GB,1,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,ASROCK Z370 Taichi ( NA / L1.01A ),2018.07.30
3000MHz,1.35,15-17-17-36,8GB,1,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,ASUS ROG STRIX Z370-H GAMING ( 1.xx / 0034 ),2018.07.30
3000MHz,1.35,15-17-17-36,8GB,1,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,Gigabyte Z370 AORUS Ultra Gaming ( x.x / F5a ),2018.07.30
3000MHz,1.35,15-17-17-36,8GB,1,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,ASRock Fatal1ty Z370 Gaming K6 ( / L1.01B ),2018.07.30
3000MHz,1.35,15-17-17-36,32GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,ASRock Fatal1ty Z370 Gaming K6 ( / L1.01B ),2017.12.18
3000MHz,1.35,15-17-17-36,16GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,ASRock Fatal1ty Z370 Gaming K6 ( / L1.01B ),2017.12.18
3000MHz,1.35,15-17-17-36,32GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,Gigabyte Z370 AORUS Ultra Gaming ( x.x / F5a ),2017.12.18
3000MHz,1.35,15-17-17-36,32GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,MSI Z370 GAMING PRO CARBON AC ( 2.0 / A.13 ),2017.12.18
3000MHz,1.35,15-17-17-36,32GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,MSI Z370 GODLIKE GAMING (MS-7A98) ( / A.0E 08/29/2017 ),2017.12.18
3000MHz,1.35,15-17-17-36,16GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,Gigabyte Z370 AORUS Ultra Gaming ( x.x / F5a ),2017.12.18
3000MHz,1.35,15-17-17-36,16GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,ASUS ROG STRIX Z370-H GAMING ( 1.xx / 0034 ),2017.12.18
3000MHz,1.35,15-17-17-36,16GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,ASROCK Z370 Taichi ( NA / L1.01A ),2017.12.18
3000MHz,1.35,15-17-17-36,8GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,Gigabyte Z370 AORUS Ultra Gaming ( x.x / F5a ),2017.12.18
3000MHz,1.35,15-17-17-36,8GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,MSI Z370 GAMING PRO CARBON AC ( 2.0 / A.13 ),2017.12.18
3000MHz,1.35,15-17-17-36,8GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,ASROCK Z370 Taichi ( NA / L1.01A ),2017.12.18
3000MHz,1.35,15-17-17-36,32GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,GIGABYTE Z370 AORUS Gaming 7 ( / F3c 09/13/2017 ),2017.10.17
3000MHz,1.35,15-17-17-36,8GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,GIGABYTE Z370 AORUS Gaming 7 ( / F3c 09/13/2017 ),2017.10.17
3000MHz,1.35,15-17-17-36,8GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,ASRock Fatal1ty Z370 Gaming K6 ( / L1.01B ),2017.10.17
3000MHz,1.35,15-17-17-36,32GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,ASUS ROG MAXIMUS X HERO ( Rev 1.xx / 0213 ),2017.10.17
3000MHz,1.35,15-17-17-36,8GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,ASUS ROG MAXIMUS X HERO ( Rev 1.xx / 0213 ),2017.10.17
3000MHz,1.35,15-17-17-36,8GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,MSI Z370 GODLIKE GAMING (MS-7A98) ( / A.0E 08/29/2017 ),2017.10.17
3000MHz,1.35,15-17-17-36,16GB,2,Dual,LGA1151,Kingston,Core? i7-8700K,DDR4,GIGABYTE Z370 AORUS Gaming 7 (  / F3c 09/13/2017 ),2017.10.10
3000MHz,1.35,15-17-17-36,16GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,ASUS ROG MAXIMUS X HERO ( Rev 1.xx / 0213 ),2017.10.10
3000MHz,1.35,15-17-17-36,16GB,2,Dual,LGA1151,Kingston,Core? i5-8600K,DDR4,MSI Z370 GODLIKE GAMING (MS-7A98) ( / A.0E 08/29/2017 ),2017.10.10
3000MHz,1.35,15-17-17-35,32GB,4,Quad,LGA2066,Corsair,Core? i9-7900X,DDR4,ASUS Prime X299 Deluxe ( 1.02 / 0702 ),2017.09.25
3000MHz,1.35,15-17-17-35,32GB,4,Quad,LGA2066,Corsair,Core? i9-7900X,DDR4,Gigabyte GA-X299 Gaming 9 ( 1.0 / F6m ),2017.09.25
3000MHz,1.35,15-17-17-35,32GB,4,Quad,LGA2066,Corsair,Core? i9-7900X,DDR4,ASRock X299 Gaming K6 ( 1.03 / 1.21 ) ,2017.09.25
3000MHz,1.35,15-17-17-35,32GB,4,Quad,LGA2066,Corsair,Core? i9-7900X,DDR4,MSI X299 TOMAHAWK AC ( 1.0 / 110 ),2017.09.25
3000MHz,1.35,15-17-17-35,16GB,2,Dual,LGA1151,Corsair,Core? i5-7600k,DDR4,ASUS Maximus IX APEX (1.01/0906),2017.08.18
3000MHz,1.35,15-17-17-35,16GB,2,Dual,LGA1151,Corsair,Core? i5-7600k,DDR4,ASUS Maximus IX HERO (1.01/0906),2017.08.18
3000MHz,1.35,15-17-17-35,16GB,2,Dual,LGA1151,Corsair,Core? i5-7600k,DDR4,Gigabyte GA-Z270X-GAMING 7 (1.0/F7a),2017.08.18
3000MHz,1.35,15-17-17-35,16GB,2,Dual,LGA1151,Corsair,Core? i5-7600k,DDR4,MSI MSI Z270 GAMING M7 (1.0/1.40),2017.08.18
3000MHz,1.35,15-17-17-36,128GB,8,Quad,LGA2066,Kingston,Core? i9-7900X,DDR4,GIGABYTE X299 AORUS GAMING 9 ( 1.0 / F6a ),2017.08.11
3000MHz,1.35,15-17-17-36,128GB,8,Quad,LGA2066,Kingston,Core? i9-7900X,DDR4,ASROCK X299 GAMING K6 ( 1.03 / P1.20 ),2017.08.11
3000MHz,1.35,15-16-16-36,32GB,2,Dual,LGA1151,Essencore Limited (KLEVV),Core? i7-7700K / Core? i5-7600K,DDR4,ASUS PRIME Z270-AR ( 1.02 / 0801 ),2017.03.20
3000MHz,1.35,15-16-16-36,32GB,2,Dual,LGA1151,Essencore Limited (KLEVV),Core? i7-7700K / Core? i5-7600K,DDR4,GIGABYTE GA-Z270X-Gaming 7 ( 1.0 / F3 ),2017.03.20
3000MHz,1.35,15-16-16-36,32GB,2,Dual,LGA1151,Essencore Limited (KLEVV),Core? i7-7700K / Core? i5-7600K,DDR4,ASUS MAXIMUS IX HERO ( 1.01 / 0701 ),2017.03.20
3000MHz,1.35,15-16-16-36,16GB,1,Single,LGA1151,Essencore Limited (KLEVV),Core? i7-7700K / Core? i5-7600K,DDR4,ASUS PRIME Z270-AR ( 1.02 / 0801 ),2017.03.20
3000MHz,1.35,15-16-16-36,16GB,1,Single,LGA1151,Essencore Limited (KLEVV),Core? i7-7700K / Core? i5-7600K,DDR4,GIGABYTE GA-Z270X-Gaming 7 ( 1.0 / F3 ),2017.03.20
3000MHz,1.35,15-16-16-36,16GB,1,Single,LGA1151,Essencore Limited (KLEVV),Core? i7-7700K / Core? i5-7600K,DDR4,ASUS MAXIMUS IX HERO ( 1.01 / 0701 ),2017.03.20
3000MHz,1.2,16-18-18-42,16GB,2,Dual,FCBGA1440,Kingston ,Core? i7-6770HQ,DDR4,Intel NUC6i7KYK ( / KYSKLi70.86A.0037.2016.0603.1032 ),2017.01.13
3000MHz,1.2,16-18-18-42,16GB,2,Dual,FCBGA1440,Kingston ,Core? i7-6770HQ,DDR4,Gigabyte MKHM17P-00 ( / F2 ),2017.01.13
3000MHz,1.35,15-17-17-36,32GB,2,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,GIGABYTE Z270X-GAMING 7 ( 1.0 / F3B ),2016.12.16
3000MHz,1.35,15-17-17-36,32GB,2,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,ASUS IX-HERO ( 1.01 / 0401 ),2016.12.16
3000MHz,1.35,15-17-17-36,32GB,2,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,ASUS PRIME-Z270-A ( 1.02 / 0401 ),2016.12.16
3000MHz,1.35,15-17-17-36,32GB,2,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,GIGABYTE GA-Z270X-GAMING 8 ( 1.0 / F1C ),2016.12.16
3000MHz,1.35,15-17-17-36,32GB,2,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,ASROCK GA-Z270-EXTREME 4 ( 1.02 / L1.01 ),2016.12.16
3000MHz,1.35,15-17-17-36,32GB,2,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,MSI Z270-SLI-PLUS ( 1.0 / 1.22 ),2016.12.16
3000MHz,1.35,15-17-17-36,16GB,2,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,GIGABYTE Z270X-GAMING 7 ( 1.0 / F3B ),2016.12.16
3000MHz,1.35,15-17-17-36,16GB,2,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,ASUS IX-HERO ( 1.01 / 0401 ),2016.12.16
3000MHz,1.35,15-17-17-36,16GB,2,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,ASUS PRIME-Z270-A ( 1.02 / 0401 ),2016.12.16
3000MHz,1.35,15-17-17-36,16GB,2,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,GIGABYTE GA-Z270X-GAMING 8 ( 1.0 / F1C ),2016.12.16
3000MHz,1.35,15-17-17-36,16GB,2,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,ASROCK GA-Z270-EXTREME 4 ( 1.02 / L1.01 ),2016.12.16
3000MHz,1.35,15-17-17-36,16GB,2,Dual,LGA1151,Kingston,Core? i7-7700K,DDR4,MSI Z270-SLI-PLUS ( 1.0 / 1.22 ),2016.12.16
3000MHz,1.35,15-17-17-35,32GB,4,Quad,LGA2011-3,Corsair,Core? i7 6800K,DDR4,ASUS X99-Deluxe II ( 1.02 / 0801 ),2016.08.22
3000MHz,1.35,15-17-17-35,32GB,4,Quad,LGA2011-3,Corsair,Core? i7 6800K,DDR4,ASUS Rampage V Edition 10 ( 1.00 / 0801 ),2016.08.22
3000MHz,1.35,15-17-17-35,32GB,4,Quad,LGA2011-3,Corsair,Core? i7 6800K,DDR4,Gigabyte Phoenix SLI ( 1.0 / F4 ),2016.08.22
3000MHz,1.35,15-17-17-35,32GB,4,Quad,LGA2011-3,Corsair,Core? i7 6800K,DDR4,MSI X99-Gaming Pro Carbon ( 1.0 / 1.13 ) ,2016.08.22
3000MHz,1.35,15-17-17-35,32GB,4,Quad,LGA2011-3,Corsair,Core? i7 6800K,DDR4,MSI X99-Godlike Gaming Carbon ( 1.1 / T33 ),2016.08.22
3000MHz,1.35,15-17-17-36,64GB,4,Quad,LGA2011-3,Kingston,Core? i7 6800K,DDR4,MSI X99A XPOWER TITANIUM (1.0/1.0F),2016.07.27
3000MHz,1.35,15-17-17-36,64GB,4,Quad,LGA2011-3,Kingston,Core? i7 6800K,DDR4,ASROCK X99X KILLER (1.07/L3.02),2016.07.27
3000MHz,1.35,15-17-17-36,64GB,4,Quad,LGA2011-3,Kingston,Core? i7 6800K,DDR4,ASUS X99-A II ( 1.02 / 0601 ),2016.07.27
3000MHz,1.35,15-17-17-36,32GB,4,Quad,LGA2011-3,Kingston,Core? i7 6800K,DDR4,MSI X99A XPOWER TITANIUM (1.0/1.0F),2016.07.27
3000MHz,1.35,15-17-17-36,32GB,4,Quad,LGA2011-3,Kingston,Core? i7 6800K,DDR4,ASROCK X99X KILLER (1.07/L3.02),2016.07.27
3000MHz,1.35,15-17-17-36,32GB,4,Quad,LGA2011-3,Kingston,Core? i7 6800K,DDR4,ASUS X99-A II ( 1.02 / 0601 ),2016.07.27
3000MHz,1.35,15-17-17-36,16GB,4,Quad,LGA2011-3,Kingston,Core? i7 6800K,DDR4,MSI X99A XPOWER TITANIUM (1.0/1.0F),2016.07.27
3000MHz,1.35,15-17-17-36,16GB,4,Quad,LGA2011-3,Kingston,Core? i7 6800K,DDR4,ASROCK X99X KILLER (1.07/L3.02),2016.07.27
3000MHz,1.35,15-17-17-36,16GB,4,Quad,LGA2011-3,Kingston,Core? i7 6800K,DDR4,ASUS X99-A II ( 1.02 / 0601 ),2016.07.27
3000MHz,1.35,15-17-17-36,32GB,2,Dual,LGA1151,Kingston,Core? i5 6600K,DDR4,ASUS Z170 DELUXE (1.03/1702),2016.07.27
3000MHz,1.35,15-17-17-36,16GB,2,Dual,LGA1151,Kingston,Core? i5 6600K,DDR4,MSI Z170A XPOWER GAMING TITANIUM EDITION (3.1/1.75),2016.07.27
3000MHz,1.35,15-17-17-36,16GB,2,Dual,LGA1151,Kingston,Core? i5 6600K,DDR4,ASUS Z170 DELUXE (1.03/1702),2016.07.27
3000MHz,1.35,15-17-17-36,8GB,2,Dual,LGA1151,Kingston,Core? i5 6600K,DDR4,ASUS Z170 DELUXE (1.03/1702),2016.07.27
3000MHz,1.35,16-18-18-36,128GB,8,Quad,LGA 2011-3,Corsair,Core? i7 6800K,DDR4,Asus X99 Deluxe II ( 1.02 / 0601 ),2016.07.04
3000MHz,1.35,16-18-18-36,128GB,8,Quad,LGA 2011-3,Corsair,Core? i7 6800K,DDR4,Asus Rampage V Edition 10 ( 1.00 / 0601 ),2016.07.04
3000MHz,1.35,16-18-18-36,128GB,8,Quad,LGA 2011-3,Corsair,Core? i7 6800K,DDR4,MSI X99A GAMING PRO CARBON ( 1.0/1.13 ),2016.07.04
3000MHz,1.35,14-14-14-34,64GB,4,Quad,LGA 2011-3,G-Skill,Core? i7 6800K,DDR4,MSI X99A GAMING PRO CARBON ( 1.0/1.11 ),2016.05.23
3000MHz,1.35,14-14-14-34,64GB,4,Quad,LGA 2011-3,G-Skill,Core? i7 6800K,DDR4,Asus Rampage V Edition 10 ( 1.00 / 0044 ),2016.05.23
3000MHz,1.35,14-14-14-34,64GB,4,Quad,LGA 2011-3,G-Skill,Core? i7 6800K,DDR4,Asus X99-A II ( 1.02 / 0501 ),2016.05.23
3000MHz,1.35,14-14-14-34,64GB,4,Quad,LGA 2011-3,G-Skill,Core? i7 6800K,DDR4,Gigabyte GA-X99-Designare EX ( 0.3 / F2c ),2016.05.23
3000MHz,1.35,15-17-17-39,16GB,2,Dual,LGA1151,Kingston,Core? i5 6600K,DDR4,ASUS Z170 DELUXE ( 1.03/0504 x64 ),2016.05.17
3000MHz,1.35,15-17-17-39,16GB,2,Dual,LGA1151,Kingston,Core? i5 6600K,DDR4,Gibabyte GA-Z170X_Gaming G1 ( 1.0/F4h ),2016.05.17
3000MHz,1.35,15-17-17-35,64GB,4,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS MAXIMUS VIII Hero ( 1.01/1203 ),2015.12.08
3000MHz,1.35,15-17-17-35,64GB,4,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS Z170 DELUXE ( 1.03/1302 ),2015.12.08
3000MHz,1.35,15-17-17-35,64GB,4,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,Gibabyte GA-Z170X_Gaming G1 ( 1.0/F5 ),2015.12.08
3000MHz,1.35,15-17-17-35,64GB,4,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,MSI Z170A XPOWER GAMING TITANIUM ( 1.03 / E7968IMS.110  ),2015.12.08
3000MHz,1.35,15-17-17-35,64GB,4,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS Z170-A ( 1.03 / 1302 ),2015.12.08
3000MHz,1.35,15-17-17-35,16GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS Z170-A ( 1.03 / 1101 ),2015.11.11
3000MHz,1.35,15-17-17-35,16GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,MSI Z170A XPOWER GAMING TITANIUM ( 1.03 / E7968IMS.110  ),2015.11.11
3000MHz,1.35,15-17-17-35,16GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,Gibabyte GA-Z170X_Gaming G1 ( 1.0/F5i ),2015.11.11
3000MHz,1.35,15-17-17-35,16GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS MAXIMUS VII Hero ( 1.01/1001 ),2015.11.11
3000MHz,1.35,15-17-17-35,16GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS Z170 DELUXE ( 1.03/1101 ),2015.11.11
3000MHz,1.35,15-17-17-35,32GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,MSI Z170A XPOWER GAMING TITANIUM ( 1.03 / E7968IMS.110  ),2015.10.28
3000MHz,1.35,15-17-17-35,32GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,Gibabyte GA-Z170X_Gaming G1 ( 1.0/F5i ),2015.10.28
3000MHz,1.35,15-17-17-35,32GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS MAXIMUS VII Hero ( 1.01/1001 ),2015.10.28
3000MHz,1.35,15-17-17-35,32GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS Z170 DELUXE ( 1.03/1101 ),2015.10.28
3000MHz,1.35,15-17-17-35,32GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,MSI Z170A XPOWER GAMING TITANIUM ( 1.03 / E7968IMS.110  ),2015.10.28
3000MHz,1.35,15-17-17-35,32GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,Gibabyte GA-Z170X_Gaming G1 ( 1.0/F5i ),2015.10.28
3000MHz,1.35,15-17-17-35,32GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS MAXIMUS VII Hero ( 1.01/1001 ),2015.10.28
3000MHz,1.35,15-17-17-35,32GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS Z170 DELUXE ( 1.03/1101 ),2015.10.28
3000MHz,1.35,15-17-17-35,8GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASROCK Z170 OC Formula ( 1.02 / P1.50 ),2015.10.13
3000MHz,1.35,15-17-17-35,8GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,MSI Z170A XPOWER GAMING TITANIUM ( 1.03 / E7968IMS.110 ),2015.10.13
3000MHz,1.35,15-17-17-35,8GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,Gibabyte GA-Z170X_Gaming G1 ( 1/F4 ),2015.10.13
3000MHz,1.35,15-17-17-35,8GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS MAXIMUS VII Hero ( 1.01/0802 ),2015.10.13
3000MHz,1.35,15-17-17-35,8GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS Z170 DELUXE ( 1.03/0901 ),2015.10.13
3000MHz,1.35,15-17-17-35,16GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,Gigabyte GA-Z170X-Gaming G1 (1/F4P),2015.10.02
3000MHz,1.35,15-17-17-35,16GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS Z170 DELUXE ( 1.03/0901 ),2015.10.02
3000MHz,1.35,15-17-17-35,16GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,MSI Z170A XPOWER GAMING TITANIUM (1.03/E7968IMS.110),2015.10.02
3000MHz,1.35,15-17-17-35,16GB,2,Dual,LGA1151,Corsair,Core? i5 6600K,DDR4,ASUS MAXIMUS VII Hero ( 1.01/0802 ),2015.10.02
3000MHz,1.35,15-15-15-35,16GB,2,Dual,LGA1151,G.SKILL,Core? i5 6600K,DDR4,ASUS Z170-DELUXE (1.03/0049),2015.08.05
3000MHz,1.35,15-15-15-35,16GB,2,Dual,LGA1151,G.SKILL,Core? i5 6600K,DDR4,ASUS MAXIMUS VII HERO (1.01 / 0014),2015.08.05
3000MHz,1.35,15-15-15-35,16GB,2,Dual,LGA1151,G.SKILL,Core? i5 6600K,DDR4,ASROCK Z170 OC FORMULA (1.00/L0.08),2015.08.05
3000MHz,1.35,16-18-18-36,16GB,4,Quad,LGA 2011-v3,Essencore,Core? i7-5960X,DDR4,Asus Rampage V Extreme (1.XX/1201),2015.05.15
3000MHz,1.35,16-18-18-36,16GB,4,Quad,LGA 2011-v3,Essencore,Core? i7-5960X,DDR4,ASUS X99 Deluxe (0.5/801),2015.05.15
3000MHz,1.35,14-16-16-35,16GB,4,Quad,LGA 2011-v3,Corsair,Core? i7-5960X,DDR4,Asus Rampage V Extreme (1.01/0901),2015.05.15
3000MHz,1.35,14-16-16-35,16GB,4,Quad,LGA 2011-v3,Corsair,Core? i7-5960X,DDR4,ASUS X99 Deluxe (1.03/1203),2015.05.15
3000MHz,1.35,15-17-17-35,16GB,4,Quad,LGA 2011-v3,Corsair,Core? i7-5960X,DDR4,Asus Rampage V Extreme (1.01/0802),2015.02.21
3000MHz,1.35,15-17-17-35,16GB,4,Quad,LGA 2011-v3,Corsair,Core? i7-5960X,DDR4,ASUS X99 Deluxe (1.03/1004),2015.02.21
3000MHz,1.35,15-17-17-35,16GB,4,Quad,LGA 2011-v3,Corsair,Core? i7-5960X,DDR4,ASUS X99 Deluxe (1.03/0904),2014.11.05
3000MHz,1.35,15-17-17-35,16GB,4,Quad,LGA 2011-v3,Corsair,Core? i7-5960X,DDR4,ASUS RAMPAGE V Extreme (1.01 / 0603),2014.11.05
3000MHz,1.65,12-14-14-36,16GB,4,Dual,LGA 1150,Corsair,Core? i7-4790K,DDR3,ASUS Z97 Deluxe (1.03/1008),2014.11.05
3000MHz,1.65,12-14-14-36,16GB,4,Dual,LGA 1150,Corsair,Core? i7-4790K,DDR3,GIGABYTE Z97 SOC Force (1/F6),2014.11.05
3000MHz,1.35,15-16-16-,16GB,4,Quad,LGA 2011-v3,Kingston,Core? i7-5960X,DDR4,MSI X99 GAMING 9 AC (1.0/1.3),2015.02.21
3000MHz,1.35,15-16-16-,16GB,4,Quad,LGA 2011-v3,Kingston,Core? i7-5960X,DDR4,ASROCK X99 EXTREME6 (1.03/1.50),2015.02.21
3000MHz,1.35,15-16-16-,16GB,4,Quad,LGA 2011-v3,Kingston,Core? i7-5960X,DDR4,Asus X99 Deluxe (1.03/0801),2014.09.23
3000MHz,1.65,12-14-14-35,8GB,2,Dual,LGA 1150,Kingston,Core? i7-4790K,DDR3,Gigabyte GA Z97X-SOC FORCE ( / F6),2014.09.23
3000MHz,1.65,12-14-14-35,8GB,2,Dual,LGA 1150,Kingston,Core? i7-4790K,DDR3,Asus Z97 Deluxe ( / 1104),2014.09.23
3000MHz,1.65,12-14-14-35,8GB,2,Dual,LGA 1150,Kingston,Core? i7-4790K,DDR3,Gigabyte CA Z97X Gaming (/F5),2014.09.23
